Quick Sort prawy;
Losowa kolejność;13.8199
33% posortowana;13.5803
66% posortowana;13.6915
posortowana;12606.3
posortowana odwrotnie;9803.83
Quick Sort lewy;
Losowa kolejność;14.6185
33% posortowana;15.7457
66% posortowana;17.8175
posortowana;6071.17
posortowana odwrotnie;9975.21
Quick Sort srodkowy;
Losowa kolejność;14.0083
33% posortowana;14.5237
66% posortowana;13.6031
posortowana;8.7887
posortowana odwrotnie;9.0865
Quick Sort losowy;
Losowa kolejność;15.0181
33% posortowana;14.7656
66% posortowana;13.4184
posortowana;11.1388
posortowana odwrotnie;11.8846
